"density","infectioness","mortality","speed","step","infected"
0.9,0.9,1.4,2.5,30,3425.8
0.9,0.9,1.4,2.5,31,3513.66666666667
0.9,0.9,1.4,2.5,32,3571.6
0.9,0.9,1.4,2.5,33,3594.73333333333
0.9,0.9,1.4,2.5,34,3588.13333333333
0.9,0.9,1.4,2.5,35,3561.2
0.9,0.9,1.4,2.5,36,3508.83333333333
0.9,0.9,1.4,2.5,37,3433.86666666667
0.9,0.9,1.4,2.5,38,3337.73333333333
0.9,0.9,1.4,2.5,39,3230.5
0.9,0.9,1.4,2.5,40,3113.5
0.9,0.9,1.4,2.5,41,2981.3
0.9,0.9,1.4,2.5,42,2837.4
0.9,0.9,1.4,2.5,43,2681.6
0.9,0.9,1.4,2.5,44,2510.26666666667
0.9,0.9,1.4,2.5,45,2329.66666666667
0.9,0.9,1.4,2.5,46,2136.9
0.9,0.9,1.4,2.5,47,1933.63333333333
0.9,0.9,1.4,2.5,48,1727.06666666667
0.9,0.9,1.4,2.5,49,1503.53333333333
0.9,0.9,1.4,2.5,50,1279.96666666667
0.9,0.9,1.4,2.5,51,1069.83333333333
0.9,0.9,1.4,2.5,52,870.766666666667
0.9,0.9,1.4,2.5,53,690.4
0.9,0.9,1.4,2.5,54,536.133333333333
0.9,0.9,1.4,2.5,55,400.566666666667
0.9,0.9,1.4,2.5,56,291.5
0.9,0.9,1.4,2.5,57,202.566666666667
0.9,0.9,1.4,2.5,58,136.333333333333
0.9,0.9,1.4,2.5,59,90.5666666666667
0.9,0.9,1.4,2.5,60,58
0.9,0.9,1.4,2.5,61,37.3
0.9,0.9,1.4,2.5,62,24.9333333333333
0.9,0.9,1.4,2.5,63,17.4333333333333
0.9,0.9,1.4,2.5,64,12.0666666666667
0.9,0.9,1.4,2.5,65,8.53333333333333
0.9,0.9,1.4,2.5,66,5.96666666666667
0.9,0.9,1.4,2.5,67,3.93333333333333
0.9,0.9,1.4,2.5,68,2.72413793103448
0.9,0.9,1.4,2.5,69,1.96551724137931
0.9,0.9,1.4,2.5,70,1.69565217391304
0.9,0.9,1.4,2.5,71,1.5
0.9,0.9,1.4,2.5,72,1.4
0.9,0.9,1.4,2.5,73,1.15789473684211
0.9,0.9,1.4,2.5,74,1.4
0.9,0.9,1.4,2.5,75,0.666666666666667
0.9,0.9,1.4,2.5,76,0.875
0.9,0.9,1.4,2.5,77,0.571428571428571
0.9,0.9,1.4,2.5,78,1
0.9,0.9,1.4,2.5,79,0.5
0.9,0.9,1.4,2.5,80,1
0.9,0.9,1.4,2.5,81,1
0.9,0.9,1.4,2.5,82,1
0.9,0.9,1.4,2.5,83,1
0.9,0.9,1.4,2.5,84,0.5
0.9,0.9,1.4,2.5,85,1
0.9,0.9,1.4,2.5,86,0
0.9,0.9,1.4,3,0,0
0.9,0.9,1.4,3,1,5.63333333333333
0.9,0.9,1.4,3,2,11.4333333333333
0.9,0.9,1.4,3,3,16.5
0.9,0.9,1.4,3,4,21.2666666666667
0.9,0.9,1.4,3,5,31.0666666666667
0.9,0.9,1.4,3,6,50.9
0.9,0.9,1.4,3,7,83.6333333333333
0.9,0.9,1.4,3,8,126.9
0.9,0.9,1.4,3,9,184.733333333333
0.9,0.9,1.4,3,10,251.7
0.9,0.9,1.4,3,11,337.4
0.9,0.9,1.4,3,12,445.8
0.9,0.9,1.4,3,13,572.6
0.9,0.9,1.4,3,14,721.766666666667
0.9,0.9,1.4,3,15,883.433333333333
0.9,0.9,1.4,3,16,1063.96666666667
0.9,0.9,1.4,3,17,1260.76666666667
0.9,0.9,1.4,3,18,1476.03333333333
0.9,0.9,1.4,3,19,1712.03333333333
0.9,0.9,1.4,3,20,1958.06666666667
0.9,0.9,1.4,3,21,2215.06666666667
0.9,0.9,1.4,3,22,2478.03333333333
0.9,0.9,1.4,3,23,2733.2
0.9,0.9,1.4,3,24,2981.3
0.9,0.9,1.4,3,25,3193.86666666667
0.9,0.9,1.4,3,26,3369.33333333333
0.9,0.9,1.4,3,27,3503.56666666667
0.9,0.9,1.4,3,28,3599.36666666667
0.9,0.9,1.4,3,29,3672.9
0.9,0.9,1.4,3,30,3717.83333333333
0.9,0.9,1.4,3,31,3736.33333333333
0.9,0.9,1.4,3,32,3726.26666666667
0.9,0.9,1.4,3,33,3694.7
0.9,0.9,1.4,3,34,3643.13333333333
0.9,0.9,1.4,3,35,3577.73333333333
0.9,0.9,1.4,3,36,3492.93333333333
0.9,0.9,1.4,3,37,3388.2
0.9,0.9,1.4,3,38,3263.56666666667
0.9,0.9,1.4,3,39,3115.16666666667
0.9,0.9,1.4,3,40,2954.43333333333
0.9,0.9,1.4,3,41,2772.5
0.9,0.9,1.4,3,42,2576.23333333333
0.9,0.9,1.4,3,43,2361.16666666667
